latitude,longitude,X,Y
40.75362,-73.98377,-8235835.603366671,4948168.394536869
40.80902,-73.9419,-8231174.656287155,4956281.569401363
40.79851,-73.94399,-8231407.314022913,4954741.885068359
40.74767,-73.975,-8234859.331432411,4947297.43898262
40.76489,-73.98493,-8235964.73397599,4949818.302131934
40.80178,-73.96723,-8233994.37898895,4955220.904197882
40.71344,-73.99037,-8236570.312005905,4942288.4074905375
40.80316,-73.96545,-8233796.230295337,4955423.066195593
40.76076,-73.98867,-8236381.068871556,4949213.644886717
40.79826,-73.96113,-8233315.330095109,4954705.263789231
40.7353,-74.00525,-8238226.74602891,4945486.98100117
40.74192,-73.99501,-8237086.834443185,4946455.833854755
40.79685,-73.94872,-8231933.855214365,4954498.72237727
40.86754,-73.92639,-8229448.090984951,4964859.076118323
40.76715,-73.98533,-8236009.261772308,4950149.195975635
40.86482,-73.92106,-8228854.758099023,4964460.22584777
40.7292,-73.98542,-8236019.28052648,4944594.317391118
40.82245,-73.95104,-8232192.116433007,4958249.382897156
40.81305,-73.95466,-8232595.0929896785,4956872.017820009
40.8213,-73.95318,-8232430.340143304,4958080.864907964
40.71401,-73.98917,-8236436.728616953,4942371.796927788
40.7229,-73.98199,-8235637.4546730565,4943672.472677601
40.79009,-73.97927,-8235334.6656581005,4953508.556862185
40.81175,-73.94478,-8231495.256420639,4956681.546639689
40.78635,-73.97008,-8234311.63953771,4952960.787042974
40.73961,-73.98074,-8235498.305309566,4946117.748786108
40.72004,-73.99104,-8236644.896064736,4943254.013461742
40.75531,-73.99293,-8236855.289902335,4948415.789512548
40.7221,-73.99775,-8237391.849847959,4943555.419323411
40.74623,-73.9953,-8237119.117095516,4947086.6649032
40.77065,-73.95269,-8232375.793592815,4950661.664573908
40.75979,-73.99119,-8236661.593988355,4949071.636447665
40.72649,-73.97904,-8235309.062175217,4944197.767061851
40.72298,-73.98474,-8235943.583272739,4943684.178090996
40.80164,-73.93922,-8230876.320051829,4955200.395246355
40.72162,-73.98008,-8235424.834445642,4943485.187991408
40.76342,-73.98865,-8236378.842481742,4949603.080806521
