X,Y
-8235835.603366671,4948168.394536869
-8231174.656287155,4956281.569401363
-8231407.314022913,4954741.885068359
-8234859.331432411,4947297.43898262
-8235964.73397599,4949818.302131934
-8233994.37898895,4955220.904197882
-8236570.312005905,4942288.4074905375
-8233796.230295337,4955423.066195593
-8236381.068871556,4949213.644886717
-8233315.330095109,4954705.263789231
-8238226.74602891,4945486.98100117
-8237086.834443185,4946455.833854755
-8231933.855214365,4954498.72237727
-8229448.090984951,4964859.076118323
-8236009.261772308,4950149.195975635
-8228854.758099023,4964460.22584777
-8236019.28052648,4944594.317391118
-8232192.116433007,4958249.382897156
-8232595.0929896785,4956872.017820009
-8232430.340143304,4958080.864907964
-8236436.728616953,4942371.796927788
-8235637.454673056,4943672.472677601
-8235334.6656581,4953508.556862185
-8231495.256420639,4956681.546639689
-8234311.63953771,4952960.787042974
-8235498.305309566,4946117.748786108
-8236644.896064736,4943254.013461742
-8236855.289902335,4948415.789512548
-8237391.849847959,4943555.419323411
-8237119.117095516,4947086.6649032
-8232375.793592815,4950661.664573908
-8236661.593988355,4949071.636447665
-8235309.062175217,4944197.767061851
-8235943.583272739,4943684.178090996
-8230876.320051829,4955200.395246355
-8235424.834445642,4943485.187991408
-8236378.842481742,4949603.080806521
-8231068.902770901,4959559.527519501
-8236307.598007634,4944459.693314588
-8232140.909467242,4950368.822044306
-8237861.618099107,4946376.799921921
-8232227.7386700595,4959231.241909679
-8236408.898744254,4943030.1598514775
-8236299.805643277,4941989.966978102
-8235905.734645869,4943736.852626729
-8235479.380996131,4944582.610875226
-8233386.574569218,4954614.443616716
-8231776.894732347,4959067.10329542
-8237943.994522293,4946186.535698484
-8232231.078254783,4958299.206170938
-8231275.957023776,4960714.478217324
-8237997.427877876,4944851.864328979
-8231431.804310887,4956307.941016331
-8236853.063512519,4948409.933936943
-8235629.662308701,4944535.784953474
-8235590.7004869245,4944038.2735477295
-8235425.94764055,4946605.121936503
-8235011.839134799,4951771.6183945285
-8235376.967064601,4944060.222040261
-8231986.175375039,4958995.293530135
-8234921.670347257,4951799.44209555
-8236002.5826028595,4943606.62999142
-8231878.195468969,4951737.937179534
-8229992.443294931,4963576.068847331
-8231958.345502339,4957330.629244293
-8236688.310666145,4943821.717760422
-8236368.82372757,4942284.018592715
-8235860.093654645,4950206.29827291
-8237979.616759348,4945358.198209421
-8235744.321384218,4943766.1163817495
-8237754.751387945,4945405.028116902
-8230959.809669924,4953927.460643277
-8238088.709860324,4945042.102270566
-8232376.906787721,4951607.606628654
-8232435.906117843,4951234.1973769935
